goos: linux
goarch: amd64
pkg: github.com/aminkbi/taskforge/test/benchmark
cpu: AMD Ryzen 9 5900HS with Radeon Graphics        
BenchmarkSnapshotCosts/metrics/tenants_64/payload_256-16                 	      30	  21831370 ns/op	       321.0 redis_commands/op	    213153 redis_network_bytes/op	       321.0 redis_round_trips/op	  486112 B/op	   10061 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_256-16                 	      30	  21052576 ns/op	       321.0 redis_commands/op	    213162 redis_network_bytes/op	       321.0 redis_round_trips/op	  486647 B/op	   10061 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_256-16                 	      30	  21451180 ns/op	       321.0 redis_commands/op	    213150 redis_network_bytes/op	       321.0 redis_round_trips/op	  486098 B/op	   10061 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_256-16           	      30	  29745322 ns/op	       578.0 redis_commands/op	    405150 redis_network_bytes/op	       451.0 redis_round_trips/op	  908645 B/op	   16239 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_256-16           	      30	  30559496 ns/op	       578.0 redis_commands/op	    405108 redis_network_bytes/op	       451.0 redis_round_trips/op	  908102 B/op	   16238 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_256-16           	      30	  30165036 ns/op	       578.0 redis_commands/op	    405132 redis_network_bytes/op	       451.0 redis_round_trips/op	  908366 B/op	   16239 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_256-16           	      30	  30151140 ns/op	       578.0 redis_commands/op	    405126 redis_network_bytes/op	       451.0 redis_round_trips/op	  908722 B/op	   16240 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_256-16           	      30	  30024939 ns/op	       578.0 redis_commands/op	    405138 redis_network_bytes/op	       451.0 redis_round_trips/op	  907594 B/op	   16238 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_256-16           	      30	  30214913 ns/op	       578.0 redis_commands/op	    405132 redis_network_bytes/op	       451.0 redis_round_trips/op	  906286 B/op	   16235 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_256-16           	      30	  30496510 ns/op	       578.0 redis_commands/op	    405132 redis_network_bytes/op	       451.0 redis_round_trips/op	  907372 B/op	   16237 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_256-16           	      30	  30540414 ns/op	       578.0 redis_commands/op	    405108 redis_network_bytes/op	       451.0 redis_round_trips/op	  907618 B/op	   16238 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_256-16           	      30	  30202929 ns/op	       578.0 redis_commands/op	    405126 redis_network_bytes/op	       451.0 redis_round_trips/op	  907417 B/op	   16237 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_256-16           	      30	  30580031 ns/op	       578.0 redis_commands/op	    405120 redis_network_bytes/op	       451.0 redis_round_trips/op	  908154 B/op	   16239 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_65536-16               	      30	  43158243 ns/op	       321.0 redis_commands/op	  16925226 redis_network_bytes/op	       321.0 redis_round_trips/op	27679676 B/op	   10212 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_65536-16               	      30	  43543756 ns/op	       321.0 redis_commands/op	  16925205 redis_network_bytes/op	       321.0 redis_round_trips/op	27679140 B/op	   10210 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_65536-16               	      30	  43005721 ns/op	       321.0 redis_commands/op	  16925232 redis_network_bytes/op	       321.0 redis_round_trips/op	27677489 B/op	   10208 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_65536-16               	      30	  46396412 ns/op	       321.0 redis_commands/op	  16925220 redis_network_bytes/op	       321.0 redis_round_trips/op	27678570 B/op	   10211 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_65536-16               	      30	  43344347 ns/op	       321.0 redis_commands/op	  16925226 redis_network_bytes/op	       321.0 redis_round_trips/op	27674268 B/op	   10205 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_65536-16               	      30	  50436536 ns/op	       321.0 redis_commands/op	  16925220 redis_network_bytes/op	       321.0 redis_round_trips/op	27681841 B/op	   10215 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_65536-16               	      30	  43128396 ns/op	       321.0 redis_commands/op	  16925211 redis_network_bytes/op	       321.0 redis_round_trips/op	27676980 B/op	   10209 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_65536-16               	      30	  42845470 ns/op	       321.0 redis_commands/op	  16925220 redis_network_bytes/op	       321.0 redis_round_trips/op	27678141 B/op	   10210 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_65536-16               	      30	  42574688 ns/op	       321.0 redis_commands/op	  16925214 redis_network_bytes/op	       321.0 redis_round_trips/op	27676936 B/op	   10213 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_64/payload_65536-16               	      30	  42874332 ns/op	       321.0 redis_commands/op	  16925208 redis_network_bytes/op	       321.0 redis_round_trips/op	27676397 B/op	   10208 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_65536-16         	      30	  75861286 ns/op	       578.0 redis_commands/op	  33829248 redis_network_bytes/op	       451.0 redis_round_trips/op	55211620 B/op	   16404 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_65536-16         	      30	  76016382 ns/op	       578.0 redis_commands/op	  33829248 redis_network_bytes/op	       451.0 redis_round_trips/op	55211403 B/op	   16405 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_65536-16         	      30	  77878338 ns/op	       578.0 redis_commands/op	  33829254 redis_network_bytes/op	       451.0 redis_round_trips/op	55216308 B/op	   16415 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_65536-16         	      30	  75630371 ns/op	       578.0 redis_commands/op	  33829230 redis_network_bytes/op	       451.0 redis_round_trips/op	55211231 B/op	   16402 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_65536-16         	      30	  78197994 ns/op	       578.0 redis_commands/op	  33829254 redis_network_bytes/op	       451.0 redis_round_trips/op	55209680 B/op	   16401 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_65536-16         	      30	  75782901 ns/op	       578.0 redis_commands/op	  33829248 redis_network_bytes/op	       451.0 redis_round_trips/op	55207649 B/op	   16397 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_65536-16         	      30	  80328274 ns/op	       578.0 redis_commands/op	  33829260 redis_network_bytes/op	       451.0 redis_round_trips/op	55207725 B/op	   16395 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_65536-16         	      30	  75690434 ns/op	       578.0 redis_commands/op	  33829266 redis_network_bytes/op	       451.0 redis_round_trips/op	55207850 B/op	   16399 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_65536-16         	      30	  80063690 ns/op	       578.0 redis_commands/op	  33829248 redis_network_bytes/op	       451.0 redis_round_trips/op	55215206 B/op	   16413 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_65536-16         	      30	  75909648 ns/op	       578.0 redis_commands/op	  33829254 redis_network_bytes/op	       451.0 redis_round_trips/op	55212230 B/op	   16404 allocs/op
BenchmarkPublishStateCosts/fair_false/dedup_false-16                     	      30	    102217 ns/op	         1.000 redis_commands/op	       664.2 redis_network_bytes/op	         1.000 redis_round_trips/op	    4411 B/op	      61 allocs/op
BenchmarkPublishStateCosts/fair_false/dedup_false-16                     	      30	    102572 ns/op	         1.000 redis_commands/op	       664.1 redis_network_bytes/op	         1.000 redis_round_trips/op	    4411 B/op	      61 allocs/op
BenchmarkPublishStateCosts/fair_false/dedup_false-16                     	      30	     83048 ns/op	         1.000 redis_commands/op	       664.0 redis_network_bytes/op	         1.000 redis_round_trips/op	    4401 B/op	      61 allocs/op
BenchmarkPublishStateCosts/fair_false/dedup_false-16                     	      30	    101239 ns/op	         1.000 redis_commands/op	       664.4 redis_network_bytes/op	         1.000 redis_round_trips/op	    4401 B/op	      61 allocs/op
BenchmarkPublishStateCosts/fair_false/dedup_false-16                     	      30	    104990 ns/op	         1.000 redis_commands/op	       664.3 redis_network_bytes/op	         1.000 redis_round_trips/op	    4401 B/op	      61 allocs/op
BenchmarkPublishStateCosts/fair_false/dedup_false-16                     	      30	     91838 ns/op	         1.000 redis_commands/op	       664.2 redis_network_bytes/op	         1.000 redis_round_trips/op	    4411 B/op	      61 allocs/op
